steps: 146500, lr: 3.30e-04, avg_loss: 3.24, run_time: 1.60e+02
steps: 147000, lr: 3.30e-04, avg_loss: 3.25, run_time: 1.60e+02
steps: 147500, lr: 3.29e-04, avg_loss: 3.24, run_time: 1.60e+02
steps: 148000, lr: 3.29e-04, avg_loss: 3.25, run_time: 1.60e+02
steps: 148500, lr: 3.28e-04, avg_loss: 3.25, run_time: 1.60e+02
steps: 149000, lr: 3.28e-04, avg_loss: 3.25, run_time: 1.60e+02
steps: 149500, lr: 3.27e-04, avg_loss: 3.25, run_time: 1.60e+02
steps: 150000, lr: 3.27e-04, avg_loss: 3.23, run_time: 2.25e+02
steps: 150500, lr: 3.26e-04, avg_loss: 3.24, run_time: 1.59e+02
steps: 151000, lr: 3.26e-04, avg_loss: 3.24, run_time: 1.59e+02
steps: 151500, lr: 3.25e-04, avg_loss: 3.24, run_time: 1.60e+02
steps: 152000, lr: 3.24e-04, avg_loss: 3.24, run_time: 1.60e+02
steps: 152500, lr: 3.24e-04, avg_loss: 3.24, run_time: 1.59e+02
steps: 153000, lr: 3.23e-04, avg_loss: 3.24, run_time: 1.60e+02
steps: 153500, lr: 3.23e-04, avg_loss: 3.24, run_time: 1.60e+02
steps: 154000, lr: 3.22e-04, avg_loss: 3.24, run_time: 1.60e+02
steps: 154500, lr: 3.22e-04, avg_loss: 3.24, run_time: 1.60e+02
steps: 155000, lr: 3.21e-04, avg_loss: 3.24, run_time: 2.70e+02
steps: 155500, lr: 3.21e-04, avg_loss: 3.23, run_time: 1.59e+02
steps: 156000, lr: 3.20e-04, avg_loss: 3.24, run_time: 1.60e+02
steps: 156500, lr: 3.20e-04, avg_loss: 3.24, run_time: 1.60e+02
steps: 157000, lr: 3.19e-04, avg_loss: 3.24, run_time: 1.60e+02
steps: 157500, lr: 3.19e-04, avg_loss: 3.24, run_time: 1.60e+02
steps: 158000, lr: 3.18e-04, avg_loss: 3.24, run_time: 1.60e+02
steps: 158500, lr: 3.18e-04, avg_loss: 3.24, run_time: 1.60e+02
steps: 159000, lr: 3.17e-04, avg_loss: 3.24, run_time: 1.60e+02
steps: 159500, lr: 3.17e-04, avg_loss: 3.26, run_time: 2.63e+02
steps: 160000, lr: 3.16e-04, avg_loss: 3.24, run_time: 1.59e+02
steps: 160500, lr: 3.16e-04, avg_loss: 3.24, run_time: 1.60e+02
